"Cislo faktury";"Dodavatel";"Kod partnera";"Cislo faktury dodavatele";"Typ dokladu";"Variabilni symbol";"Castka";"Mena";"Datum vystaveni";"Datum prijeti";"Datum splatnosti";"Datum uhrady";"Ucel platby";"Uhrada cizi mena";"Castka cizi mena";"Cizi mena ID";"Cislo radku";"Castka bez DPH - radek";"Castka - radek"
1107000082;"Centrální depozitář cenných papírů, a.s.";"00328-01";220116119;"F";220116119;194400;"CZK";2011-12-31;2011-12-31;2012-01-24;2012-01-24;"poskytování statistických údajů";194400;194400;"0023606f-e733-414a-82da-4cb7156e818b";1;194400.00;194400.00
1107000083;"Centrální depozitář cenných papírů, a.s.";"00328-01";200110568;"F";200110568;109608;"CZK";2011-12-31;2011-12-31;2012-01-04;2012-01-04;"poplatky - uhrazeno";109608;109608;"0023606f-e733-414a-82da-4cb7156e818b";1;109608.00;109608.00
1107000084;"Centrální depozitář cenných papírů, a.s.";"00328-01";220116125;"F";220116125;8069761;"CZK";2011-12-31;2012-01-03;2012-01-17;2012-01-17;"poplatky";8069761;8069761;"0023606f-e733-414a-82da-4cb7156e818b";1;8069761.00;8069761.00
1107000085;"Burza cenných papírů Praha, a.s.";"01774-01";200110733;"F";200110733;14000;"CZK";2011-12-31;2011-12-31;2012-01-04;2012-01-04;"užívání komunikačního systému burzy - uhrazeno";14000;14000;"0023606f-e733-414a-82da-4cb7156e818b";1;14000.00;14000.00
1107000086;"Moody´s Corporation";"06657-03";"1822218-000";"F";1822218000;516000;"EUR";2011-12-19;2012-01-03;2012-01-10;2012-01-10;"čtvrtletní poplatky";20000;20000;"82f598bf-e351-4e74-85a7-22c16952746c";1;516000.00;516000.00
1120000603;"United Bakeries a.s.";"01378-01";1129029221;"F";1129029221;1648,5;"CZK";2011-12-30;2011-12-30;2012-01-16;2012-01-06;"pečivo";1648,5;1648,5;"0023606f-e733-414a-82da-4cb7156e818b";1;1498.80;1648.68
1120000603;"United Bakeries a.s.";"01378-01";1129029221;"F";1129029221;1648,5;"CZK";2011-12-30;2011-12-30;2012-01-16;2012-01-06;"pečivo";1648,5;1648,5;"0023606f-e733-414a-82da-4cb7156e818b";2;-0.18;-0.18
1150000514;"PPP Centrum a.s.";"04231-01";9072011;"F";9072011;369000;"CZK";2011-12-21;2011-12-22;2012-01-12;2012-01-12;"poradenské služby";369000;369000;"0023606f-e733-414a-82da-4cb7156e818b";1;369000.00;369000.00
1150000518;"A.T. Kearney GmbH";"06603-01";212011;"F";212011;1199997;"CZK";2011-12-23;2012-01-02;2012-01-30;2012-01-30;"právní služby";1199997;1199997;"0023606f-e733-414a-82da-4cb7156e818b";1;1199997.00;1199997.00
1150000519;"CMS Cameron McKenna v.o.s.";"04164-01";22111439;"F";22111439;105000;"CZK";2011-12-15;2012-01-02;2012-01-13;2012-01-13;"právní služby 05509-2011-453-24.11.2011";105000;105000;"0023606f-e733-414a-82da-4cb7156e818b";1;105000.00;105000.00
1150000520;"Sprinter - studio, s.r.o.";"04245-01";2011336;"F";2011336;64932;"CZK";2011-12-28;2012-01-02;2012-01-09;2012-01-09;"kopírování složek";64932;64932;"0023606f-e733-414a-82da-4cb7156e818b";1;64932.00;64932.00
1150000525;"RIA REALITY a.s.";"04239-01";200110791;"F";200110791;27600;"CZK";2011-12-31;2012-01-04;2012-01-31;2012-01-18;"hotel Imperiál";27600;27600;"0023606f-e733-414a-82da-4cb7156e818b";1;27600.00;27600.00
1150000526;"RIA REALITY a.s.";"04239-01";200110792;"F";200110792;2160;"CZK";2011-12-31;2012-01-04;2012-01-18;2012-01-18;"Chrastavská 23 LiberecII";2160;2160;"0023606f-e733-414a-82da-4cb7156e818b";1;2160.00;2160.00
1150000527;"NESS Czech s.r.o.";"07147-01";11112316;"F";11112316;1512;"CZK";2011-12-06;2012-01-04;2012-01-11;2012-01-11;"VZ  elektronické";1512;1512;"0023606f-e733-414a-82da-4cb7156e818b";1;1512.00;1512.00
1150000528;"JUDr.Jaroslav Niklas";"04863-01";13;"F";13;39200;"CZK";2012-01-04;2012-01-05;2012-01-15;2012-01-16;"právní služby";39200;39200;"0023606f-e733-414a-82da-4cb7156e818b";1;39200.00;39200.00
1150000529;"Doležal Michal";"01195-01";2011120;"F";2011120;29478;"CZK";2011-12-30;2012-01-05;2012-01-09;2012-01-09;"právní služby";29478;29478;"0023606f-e733-414a-82da-4cb7156e818b";1;29478.00;29478.00
1150000530;"Radek Kocourek Mgr.";"04235-01";2011094;"F";2011094;31764;"CZK";2011-12-30;2012-01-05;2012-01-13;2012-01-13;"právní služby";31764;31764;"0023606f-e733-414a-82da-4cb7156e818b";1;31764.00;31764.00
1150000531;"Radek Kocourek Mgr.";"04235-01";2011093;"F";2011093;10800;"CZK";2011-12-30;2012-01-05;2012-01-13;2012-01-13;"právní služby";10800;10800;"0023606f-e733-414a-82da-4cb7156e818b";1;10800.00;10800.00
1150000532;"Sprinter - studio, s.r.o.";"04245-01";2011346;"F";2011346;37095;"CZK";2011-12-30;2012-01-05;2012-01-13;2012-01-13;"kopírování složek";37095;37095;"0023606f-e733-414a-82da-4cb7156e818b";1;37095.00;37095.00
1150000533;"KESO Praha spol. s r.o.";"04205-01";41100496;"F";41100496;17040;"CZK";2011-12-27;2012-01-05;2012-01-11;2012-01-11;"Hlubočepy ";17040;17040;"0023606f-e733-414a-82da-4cb7156e818b";1;17040.00;17040.00
1150000534;"KESO Praha spol. s r.o.";"04205-01";41100495;"F";41100495;4680;"CZK";2011-12-27;2012-01-05;2012-01-11;2012-01-11;"Hlubočepy";4680;4680;"0023606f-e733-414a-82da-4cb7156e818b";1;4680.00;4680.00
1150000535;"TST Praha s.r.o.";"04256-01";12012;"F";12012;44400;"CZK";2012-01-03;2012-01-06;2012-01-17;2012-01-17;"zprácování posudku kaple Panny Marie Bolestné";44400;44400;"0023606f-e733-414a-82da-4cb7156e818b";1;44400.00;44400.00
1150000536;"Římovský Karel";"07054-01";201103;"F";201103;2500;"CZK";2012-01-02;2012-01-06;2012-01-16;2012-01-16;"správa chaty Sedlice";2500;2500;"0023606f-e733-414a-82da-4cb7156e818b";1;2500.00;2500.00
1150000537;"Antonín Dočekal";"04154-01";19;"F";19;4200;"CZK";2012-01-03;2012-01-09;2012-01-30;2012-01-30;"kontrola budovy";4200;4200;"0023606f-e733-414a-82da-4cb7156e818b";1;4200.00;4200.00
1150000538;"Antonín Dočekal";"04154-01";9033;"F";9033;18000;"CZK";2012-01-03;2012-01-09;2012-01-30;2012-01-30;"kontrola objektu";18000;18000;"0023606f-e733-414a-82da-4cb7156e818b";1;18000.00;18000.00
1150000539;"Antonín Dočekal";"04154-01";27;"F";27;4200;"CZK";2012-01-03;2012-01-09;2012-01-30;2012-01-30;"kontrola pozemků";4200;4200;"0023606f-e733-414a-82da-4cb7156e818b";1;4200.00;4200.00
1150000541;"NESS Czech s.r.o.";"07147-01";11123355;"F";11123355;660;"CZK";2012-01-04;2012-01-10;2012-01-18;2012-01-18;"zakázka";660;660;"0023606f-e733-414a-82da-4cb7156e818b";1;660.00;660.00
